vacancy_titile;salary_from;salary_to;salary_currency;vacancy_link;site_from
Data инженер (Рекламная платформа);;;;https://hh.ru/vacancy/67396237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Рекрутер;;;;https://hh.ru/vacancy/67781537?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Head of Global Sales (B2B);60000.00;72000.00;руб;https://hh.ru/vacancy/67791223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;300000.00;400000.00;руб;https://hh.ru/vacancy/67494470?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67114858?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data Engineer;;;;https://hh.ru/vacancy/67643772?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data Engineer;;;;https://hh.ru/vacancy/67637047?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Principal Engineer (Big Data);6000.00;;USD;https://hh.ru/vacancy/66981169?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior python developer / Data engineer;;;;https://hh.ru/vacancy/67331348?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67831356?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;150000.00;250000.00;руб;https://hh.ru/vacancy/67472113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67302519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;3500.00;5700.00;EUR;https://hh.ru/vacancy/67462578?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;3500.00;5700.00;EUR;https://hh.ru/vacancy/67462579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67403855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Аналитик данных \data engineer Python\SQL;;;;https://hh.ru/vacancy/67485021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer/ ML Ops/ Разработчик DWH;170000.00;;руб;https://hh.ru/vacancy/67638048?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (Integration);;;;https://hh.ru/vacancy/67471839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (DWH);;;;https://hh.ru/vacancy/67751461?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (DWH);;;;https://hh.ru/vacancy/67628619?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / MLOps;300000.00;400000.00;руб;https://hh.ru/vacancy/67369864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Инженер данных / Data engineer (Домен Платежи);;;;https://hh.ru/vacancy/66662318?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (MY.GAMES);;;;https://hh.ru/vacancy/67803208?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/66187574?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67514052?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67135029?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
